transaction_date,transaction_time,customer_id,quantity,line_item_amount,unit_price,product_group,product_category,product_type,current_wholesale_price,customer_since,customer_birth_year,customer_generation
2019-04-18,06:33:22,,1,2.5,2.5,Beverages,Tea,Brewed herbal tea,0.63,,,
2019-04-13,07:17:16,5655.0,1,3.0,3.0,Beverages,Tea,Brewed Black tea,0.75,2018-06-15,1993.0,Younger Millennials
2019-04-06,16:27:42,599.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-09-12,1988.0,Older Millennials
2019-04-17,06:47:08,5572.0,2,6.0,3.0,Beverages,Tea,Brewed herbal tea,0.75,2017-04-06,1956.0,Baby Boomers
2019-04-06,17:33:47,5555.0,2,7.0,3.5,Beverages,Coffee,Organic brewed coffee,0.7,2019-03-19,1999.0,Gen Z
2019-04-12,06:06:24,,1,3.1,3.1,Beverages,Tea,Brewed Chai tea,0.78,,,
2019-04-10,07:09:32,8121.0,1,3.0,3.0,Beverages,Tea,Brewed herbal tea,0.75,2018-03-25,1996.0,Gen Z
2019-04-18,07:33:10,,1,14.0,14.0,Merchandise,Branded,Housewares,4.48,,,
2019-04-21,14:53:54,,2,6.0,3.0,Beverages,Tea,Brewed Chai tea,0.75,,,
2019-04-10,09:06:45,,2,9.0,4.5,Beverages,Drinking Chocolate,Hot chocolate,3.38,,,
2019-04-01,15:54:39,781.0,2,7.0,3.5,Beverages,Coffee,Organic brewed coffee,0.7,2018-11-02,1991.0,Younger Millennials
2019-04-25,16:00:32,,1,3.75,3.75,Beverages,Coffee,Premium brewed coffee,0.75,,,
2019-04-21,08:56:46,,1,3.25,3.25,Food,Bakery,Scone,2.11,,,
2019-04-08,18:31:48,,1,3.0,3.0,Beverages,Coffee,Drip coffee,0.6,,,
2019-04-02,17:02:59,5754.0,1,3.0,3.0,Food,Bakery,Scone,1.95,2018-02-01,1990.0,Younger Millennials
2019-04-20,10:47:59,5667.0,1,3.25,3.25,Food,Bakery,Scone,2.11,2017-04-28,1983.0,Older Millennials
2019-04-05,10:44:39,5736.0,2,6.2,3.1,Beverages,Coffee,Premium brewed coffee,0.62,2017-01-04,1980.0,Older Millennials
2019-04-07,12:12:14,188.0,2,6.0,3.0,Beverages,Coffee,Drip coffee,0.6,2018-06-04,1982.0,Older Millennials
2019-04-12,06:50:31,,1,2.5,2.5,Beverages,Tea,Brewed Black tea,0.63,,,
2019-04-11,11:52:05,,1,3.75,3.75,Beverages,Coffee,Premium brewed coffee,0.75,,,
2019-04-12,06:57:55,,1,4.5,4.5,Food,Bakery,Scone,2.93,,,
2019-04-05,10:27:45,8372.0,2,8.5,4.25,Beverages,Coffee,Barista Espresso,0.85,2017-01-21,1997.0,Gen Z
2019-04-10,11:14:09,,2,7.5,3.75,Beverages,Coffee,Premium brewed coffee,0.75,,,
2019-04-06,18:09:01,5872.0,2,9.0,4.5,Beverages,Drinking Chocolate,Hot chocolate,3.38,2018-03-12,1977.0,Gen X
2019-04-07,04:56:41,,2,4.0,2.0,Beverages,Coffee,Gourmet brewed coffee,0.4,,,
2019-04-20,07:07:49,,1,1.0,3.75,Food,Bakery,Pastry,2.44,,,
2019-04-24,16:31:04,,3,6.0,2.0,Beverages,Coffee,Gourmet brewed coffee,0.4,,,
2019-04-19,07:47:12,,2,5.0,2.5,Beverages,Tea,Brewed herbal tea,0.63,,,
2019-04-28,17:39:39,,2,6.0,3.0,Beverages,Coffee,Gourmet brewed coffee,0.6,,,
2019-04-20,16:34:24,,3,12.0,4.0,Beverages,Tea,Brewed Chai tea,1.0,,,
2019-04-02,18:50:47,8447.0,2,6.0,3.0,Beverages,Coffee,Gourmet brewed coffee,0.6,2017-05-06,2000.0,Gen Z
2019-04-11,06:06:29,,2,6.0,3.0,Beverages,Tea,Brewed Green tea,0.75,,,
2019-04-06,18:09:21,8378.0,1,3.0,3.0,Beverages,Coffee,Drip coffee,0.6,2017-04-16,1998.0,Gen Z
2019-04-09,09:44:57,,1,3.75,3.75,Beverages,Coffee,Premium brewed coffee,0.75,,,
2019-04-27,10:05:25,,1,2.5,2.5,Beverages,Coffee,Drip coffee,0.5,,,
2019-04-05,15:48:19,116.0,1,3.1,3.1,Beverages,Tea,Brewed Chai tea,0.78,2017-11-17,1969.0,Gen X
2019-04-14,11:11:59,,2,1.6,0.8,Add-ons,Flavours,Regular syrup,0.04,,,
2019-04-02,17:11:47,19.0,2,9.5,4.75,Beverages,Drinking Chocolate,Hot chocolate,3.56,2017-02-23,1953.0,Baby Boomers
2019-04-18,06:32:31,,1,3.0,3.0,Beverages,Coffee,Barista Espresso,0.6,,,
2019-04-27,10:20:21,8478.0,1,4.75,4.75,Beverages,Drinking Chocolate,Hot chocolate,3.56,2017-07-30,1971.0,Gen X
2019-04-12,17:14:53,,2,7.5,3.75,Beverages,Coffee,Barista Espresso,0.75,,,
2019-04-13,11:41:50,,2,4.9,2.45,Beverages,Coffee,Premium brewed coffee,0.49,,,
2019-04-07,12:00:24,631.0,1,2.45,2.45,Beverages,Coffee,Premium brewed coffee,0.49,2018-11-17,1992.0,Younger Millennials
2019-04-05,14:21:24,8155.0,1,3.5,3.5,Beverages,Coffee,Gourmet brewed coffee,0.7,2017-01-30,1987.0,Older Millennials
2019-04-15,12:09:51,5146.0,1,3.1,3.1,Beverages,Coffee,Premium brewed coffee,0.62,2018-10-17,1996.0,Gen Z
2019-04-26,07:39:02,,1,0.8,0.8,Add-ons,Flavours,Regular syrup,0.04,,,
2019-04-14,09:30:08,8003.0,1,45.0,45.0,Whole Bean/Teas,Coffee beans,Premium Beans,36.0,2017-01-19,1991.0,Younger Millennials
2019-04-02,17:15:04,8082.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-08-17,1981.0,Older Millennials
2019-04-24,13:11:40,,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,,,
2019-04-12,10:34:31,5820.0,1,4.5,4.5,Food,Bakery,Scone,2.93,2018-03-06,1991.0,Younger Millennials
2019-04-25,09:48:24,,1,3.5,3.5,Food,Bakery,Pastry,2.11,,,
2019-04-03,10:59:41,8033.0,2,6.0,3.0,Beverages,Coffee,Gourmet brewed coffee,0.6,2018-09-16,1994.0,Younger Millennials
2019-04-07,07:30:36,3.0,2,6.0,3.0,Beverages,Coffee,Gourmet brewed coffee,0.6,2017-01-10,1950.0,Baby Boomers
2019-04-03,15:52:38,664.0,2,5.0,2.5,Beverages,Tea,Brewed Black tea,0.63,2019-01-24,1996.0,Gen Z
2019-04-27,10:58:44,,3,9.0,3.0,Beverages,Tea,Brewed Black tea,0.75,,,
2019-04-27,16:02:25,,2,6.0,3.0,Beverages,Tea,Brewed herbal tea,0.75,,,
2019-04-07,05:17:51,,2,8.0,4.0,Beverages,Tea,Brewed Chai tea,1.0,,,
2019-04-23,13:06:09,,2,8.0,4.0,Beverages,Tea,Brewed Chai tea,1.0,,,
2019-04-25,10:35:20,,3,9.3,3.1,Beverages,Coffee,Premium brewed coffee,0.62,,,
2019-04-03,15:12:13,727.0,2,4.0,2.0,Beverages,Coffee,Gourmet brewed coffee,0.4,2017-08-13,1964.0,Baby Boomers
2019-04-25,08:16:51,777.0,1,3.5,3.5,Food,Bakery,Biscotti,2.28,2018-09-30,1989.0,Older Millennials
2019-04-02,18:49:47,162.0,1,3.5,3.5,Beverages,Drinking Chocolate,Hot chocolate,2.63,2018-03-24,1977.0,Gen X
2019-04-08,20:20:16,5790.0,1,3.1,3.1,Beverages,Coffee,Premium brewed coffee,0.62,2018-02-12,1975.0,Gen X
2019-04-11,13:13:13,,1,3.5,3.5,Beverages,Coffee,Gourmet brewed coffee,0.7,,,
2019-04-01,14:53:33,5353.0,1,4.75,4.75,Beverages,Drinking Chocolate,Hot chocolate,3.56,2017-07-18,1985.0,Older Millennials
2019-04-07,18:07:03,,1,2.5,2.5,Beverages,Coffee,Drip coffee,0.5,,,
2019-04-27,09:42:25,,1,4.75,4.75,Beverages,Drinking Chocolate,Hot chocolate,3.56,,,
2019-04-08,07:18:21,235.0,1,3.0,3.0,Beverages,Tea,Brewed Black tea,0.75,2018-10-11,1990.0,Younger Millennials
2019-04-08,17:18:31,,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,,,
2019-04-23,15:40:21,,1,3.0,3.0,Beverages,Tea,Brewed Chai tea,0.75,,,
2019-04-11,09:48:27,100.0,2,8.5,4.25,Beverages,Coffee,Barista Espresso,0.85,2017-10-04,1967.0,Gen X
2019-04-05,15:13:52,240.0,1,3.75,3.75,Food,Bakery,Pastry,2.44,2018-10-25,1991.0,Younger Millennials
2019-04-27,10:08:48,8394.0,1,2.5,2.5,Beverages,Coffee,Gourmet brewed coffee,0.5,2017-03-31,1991.0,Younger Millennials
2019-04-20,11:48:27,8344.0,1,2.0,2.0,Beverages,Coffee,Gourmet brewed coffee,0.4,2018-01-14,1988.0,Older Millennials
2019-04-25,09:48:23,,1,2.1,2.1,Beverages,Coffee,Barista Espresso,0.6,,,
2019-04-02,12:53:20,734.0,2,7.5,3.75,Beverages,Coffee,Barista Espresso,0.75,2017-10-10,1967.0,Gen X
2019-04-19,06:33:12,8206.0,2,5.0,2.5,Beverages,Tea,Brewed Green tea,0.63,2018-02-06,1986.0,Older Millennials
2019-04-14,08:02:43,686.0,2,6.0,3.0,Beverages,Tea,Brewed herbal tea,0.75,2019-03-11,1999.0,Gen Z
2019-04-25,18:52:46,,1,3.1,3.1,Beverages,Coffee,Premium brewed coffee,0.62,,,
2019-04-05,14:50:51,350.0,2,7.0,3.5,Beverages,Coffee,Organic brewed coffee,0.7,2017-04-15,1956.0,Baby Boomers
2019-04-10,17:12:27,546.0,1,3.5,3.5,Food,Bakery,Biscotti,2.28,2018-05-25,1981.0,Older Millennials
2019-04-11,10:35:35,,2,6.2,3.1,Beverages,Tea,Brewed Chai tea,0.78,,,
2019-04-04,18:16:20,548.0,1,2.5,2.5,Beverages,Coffee,Drip coffee,0.5,2018-05-29,1981.0,Older Millennials
2019-04-10,13:45:26,8227.0,1,3.75,3.75,Food,Bakery,Pastry,2.44,2019-04-07,1952.0,Baby Boomers
2019-04-12,09:36:27,26.0,1,3.75,3.75,Food,Bakery,Pastry,2.44,2017-03-14,1954.0,Baby Boomers
2019-04-07,10:49:27,289.0,2,8.0,4.0,Beverages,Tea,Brewed Chai tea,1.0,2019-03-09,1999.0,Gen Z
2019-04-04,15:20:06,700.0,2,7.5,3.75,Beverages,Coffee,Barista Espresso,0.75,2019-04-09,2001.0,Gen Z
2019-04-03,15:33:20,8126.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-06-04,1960.0,Baby Boomers
2019-04-08,09:53:08,,2,4.4,2.2,Beverages,Coffee,Gourmet brewed coffee,0.44,,,
2019-04-21,10:46:04,8428.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-02-01,1964.0,Baby Boomers
2019-04-11,09:46:58,,1,9.25,9.25,Whole Bean/Teas,Loose Tea,Green tea,7.4,,,
2019-04-26,15:26:54,,1,2.5,2.5,Beverages,Tea,Brewed Black tea,0.63,,,
2019-04-02,17:31:34,5141.0,1,3.75,3.75,Food,Bakery,Scone,2.44,2018-09-16,1996.0,Gen Z
2019-04-09,15:00:46,,2,5.0,2.5,Beverages,Tea,Brewed herbal tea,0.63,,,
2019-04-28,15:08:03,,1,3.0,3.0,Beverages,Coffee,Drip coffee,0.6,,,
2019-04-09,19:58:13,642.0,1,3.75,3.75,Beverages,Drinking Chocolate,Hot chocolate,2.81,2018-12-10,1993.0,Younger Millennials
2019-04-09,08:08:00,,1,4.38,4.38,Food,Bakery,Pastry,2.11,,,
2019-04-25,16:59:43,5119.0,1,2.65,2.65,Food,Bakery,Scone,2.11,2017-03-31,1982.0,Older Millennials
2019-04-18,11:11:26,,2,5.0,2.5,Beverages,Tea,Brewed herbal tea,0.63,,,
2019-04-22,18:05:59,513.0,1,2.2,2.2,Beverages,Coffee,Organic brewed coffee,0.44,2018-03-18,1977.0,Gen X
